smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
Cc1cc(C)c(N)c(C)c1,211,0.396623283624649,0.5762326121330261,-5.5,-6.1
Nc1ccccc1N,213,0.3831864297389984,0.5880348086357117,-5.0,-4.8
Cc1ccc(N)cc1,214,0.3787761330604553,0.5782456994056702,-5.4,-5.2
FC(F)(F)c1ccc(Cl)nc1,215,0.4064493179321289,0.5724778771400452,-6.5,-6.1
Nc1cc(Cl)ccc1Cl,216,0.3975403904914856,0.5716906785964966,-5.5,-5.3
Nc1cccc(Cl)c1,218,0.3857484757900238,0.5687284469604492,-5.3,-5.0
Nc1cccc(F)c1,219,0.3826494514942169,0.5669718384742737,-5.5,-4.9
Cc1cc(Br)c(N)c(Br)c1,220,0.3925409615039825,0.5704938769340515,-5.2,-5.7
CSc1cccc(N)c1,222,0.3923566937446594,0.5708944797515869,-5.6,-4.8
Cc1ccc(N)cc1Cl,224,0.3935391306877136,0.5728824138641357,-5.8,-5.5
Nc1cccc2ccccc12,225,0.3475229740142822,0.5817344784736633,-6.9,-6.6
Nc1ccc2ccccc2c1,226,0.3478887975215912,0.5819802284240723,-7.3,-6.8
Nc1cccc(S(N)(=O)=O)c1,230,0.4036076366901397,0.583617627620697,-6.5,-5.8
Nc1ccc(Cl)cc1,231,0.3844000399112701,0.5735396146774292,-5.3,-5.0
Nc1ccccc1I,232,0.38470059633255,0.5760825872421265,-5.2,-4.9
OC1CCCCCCC1,233,0.402052104473114,0.5708524584770203,-5.6,-5.6
Nc1cccc(C(F)(F)F)c1,236,0.3991296291351318,0.5780444145202637,-6.9,-6.1
Nc1nccs1,239,0.3771668970584869,0.5611509084701538,-4.2,-3.5
Clc1ccccn1,242,0.3876169621944427,0.5609224438667297,-4.8,-4.4
Brc1cccnc1,243,0.3828895986080169,0.5627160668373108,-4.7,-4.2
Oc1ccccn1,249,0.3818665742874145,0.5613523125648499,-5.0,-4.5
Cc1ccc2ccccc2n1,258,0.3544986546039581,0.573138952255249,-7.2,-6.6
Oc1cccc2cccnc12,260,0.3526497483253479,0.5733833312988281,-7.2,-6.4
Sc1ccc2ccccc2n1,261,0.3506291210651397,0.57154780626297,-6.9,-6.3
c1ccc2[nH]cnc2c1,267,0.3474309742450714,0.5803337693214417,-6.0,-5.3
Cc1nc2ccccc2[nH]1,271,0.3556479513645172,0.5781209468841553,-6.2,-5.8
c1ccc2[nH]nnc2c1,275,0.3426612615585327,0.5782078504562378,-6.1,-5.8
Brc1ccccn1,276,0.3839434385299682,0.5646059513092041,-4.9,-4.4
Sc1nc2ccccc2[nH]1,280,0.3502698242664337,0.5733789205551147,-5.8,-5.5
Nc1cccc2cnccc12,303,0.3492719829082489,0.581179141998291,-6.5,-6.1
CCCCC=O,310,0.4423794448375702,0.5459821820259094,-4.1,-3.7
O=Cc1ccccc1,313,0.3839587569236755,0.566271960735321,-5.8,-5.1
O=Cc1ccc(O)cc1,314,0.3853125870227813,0.56706303358078,-5.9,-5.1
O=Cc1cccc(C=O)c1,319,0.3923256397247314,0.5669273734092712,-6.0,-5.6
O=Cc1ccccc1O,320,0.3881464898586273,0.5673447847366333,-5.7,-5.3
O=Cc1ccccc1Cl,321,0.3950298428535461,0.5657497644424438,-5.8,-5.4
O=Cc1cccc([N+](=O)[O-])c1,323,0.394502580165863,0.5688930749893188,-6.4,-5.7
O=Cc1ccc([N+](=O)[O-])cc1,324,0.3951628506183624,0.5710544586181641,-6.2,-5.7
O=Cc1cccc2ccccc12,325,0.3530779480934143,0.5736757516860962,-7.3,-7.2
O=Cc1c2ccccc2cc2ccccc12,327,0.335699588060379,0.5740781426429749,-8.2,-8.7
O=Cc1ccco1,328,0.3900794982910156,0.5592069625854492,-4.7,-4.1
