smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
C[C@@H](N)c1cccc(F)c1,3059254,0.970179319381714,0.9992847084999084,-5.6,-5.9
C[C@H](N)c1cccc(F)c1,3059255,0.936881184577942,0.998659610748291,-5.6,-5.9
C1CC2(CCN1)CCOC2,3059268,0.3683220429345965,0.1530167547171004,-5.0,-5.4
c1ccc2c(c1)COCCN2,3059340,0.3100000375881791,0.8812870621681214,-5.9,-6.0
COc1ccc2cc[nH]c(=O)c2c1,3059390,0.6237880229949951,0.7187082797288895,-6.3,-6.8
CC(C#N)c1cccc(Cl)c1,3059471,0.0964759094174951,0.9709661781787872,-5.2,-6.1
CC(C(=O)O)c1cccc([N+](=O)[O-])c1,3059531,0.0438712670234963,0.9426369607448578,-5.8,-6.7
C#Cc1ccc(S(N)(=O)=O)cc1,3059669,0.3984211541712284,0.9829127728939056,-5.5,-6.1
C1COC(C2CCNCC2)C1,3059709,0.2895646824501455,0.4829657819122076,-5.2,-5.6
O=CCCC1CCOC1,3059752,0.2848826669156551,0.3242618294432759,-4.0,-4.4
O=Cc1cc2c(F)cccc2[nH]1,3059802,0.7800584256649017,0.9535449087619782,-6.0,-6.6
C[C@H]1CNCCO1,3059824,0.0452866587875178,0.8261270761489868,-4.2,-3.9
c1ccc2c(c1)CSCCN2,3059828,0.316459634155035,0.8244044721126557,-5.8,-6.0
COc1cccc2c1CNCC2,3060001,0.4809993296861649,0.94122017621994,-6.0,-6.2
Cc1cccc2c1CNCC2,3060002,0.7064495086669922,0.9678340375423432,-6.0,-6.6
Brc1ccn2nccc2n1,3060014,0.6247027426958084,0.8628207325935364,-4.9,-5.3
Brc1ccnc2ccnn12,3060015,0.670012754201889,0.9222185850143432,-4.8,-5.2
OCc1cccc(F)c1Cl,3060032,0.7664775460958481,0.999198877811432,-5.6,-5.9
Cn1ncc2ccc(C(=O)O)cc21,3060090,0.8064937442541122,0.7857535004615783,-5.8,-6.3
C1CNCC2(C1)CCCNC2,3060117,0.2593561780289747,0.3096462119370698,-5.5,-5.7
Brc1cccc2nncn12,3060215,0.8580427944660187,0.9015784978866576,-4.9,-5.6
CC1(O)CCNCC1,3060249,0.5659177631139756,0.2877593886107206,-4.5,-4.4
O=C(O)c1cnc2cnccc2c1,3060250,0.7738609045743943,0.7910345733165741,-5.7,-6.4
O=[N+]([O-])c1cncc(Cl)c1O,3060291,0.6686747074127197,0.9794511020183564,-5.0,-5.1
N#Cc1cncc(O)c1,3060295,0.300391754694283,0.8787528991699218,-4.7,-4.8
Clc1nccc2ncncc12,3060414,0.8594515055418015,0.9089892983436584,-5.2,-5.6
O=C(O)c1ccc2nccn2n1,3060431,0.5563972264528274,0.587858010828495,-5.1,-5.7
Cc1cccc(Cl)c1CN,3060503,0.7481844902038575,0.9949936985969544,-5.2,-5.7
CCOC(=O)c1cc(=O)[nH]cn1,3060641,0.8189779341220855,0.8958466470241546,-5.1,-5.2
ClCCc1ccc2c(c1)CCO2,3060651,0.3597833544015884,0.987350344657898,-5.7,-6.5
Cc1c(Cl)cccc1C=O,3060887,0.602362847328186,0.9515745103359222,-5.1,-6.0
Cn1cc(CCO)c2ccccc21,3060923,0.6821559637784957,0.9388469398021698,-5.7,-6.2
CS(=O)(=O)c1cccc(C=O)c1,3060941,0.3645375341176987,0.5379550024867058,-5.2,-5.7
O=C1CCNc2ccccc21,3061011,0.2908071719110012,0.4070904359221458,-6.0,-6.2
Nc1csc2ccccc12,3061027,0.626794645190239,0.4691143959760666,-5.6,-5.5
OCc1ccc2cn[nH]c2c1,3061035,0.977832680940628,0.9637039840221404,-5.8,-5.9
O=Cc1cc2ccncc2s1,3061045,0.8516198992729187,0.9159646034240724,-4.9,-5.4
CCS(=O)(=O)c1ccc(C#N)cc1,3061080,0.2483113141264766,0.8397108435630798,-5.2,-5.9
Nc1nc(Cl)nc2[nH]ncc12,3061147,0.1444994274526834,0.917338401079178,-5.8,-5.6
OC1CCCNCC1,3061162,0.2768403546884656,0.6265610113739968,-4.8,-4.7
CN1CCCC2(CCNCC2)C1,3061196,0.3625110285356641,0.1064569963229587,-5.6,-5.5
N#Cc1cnc2ccsc2c1,3061210,0.4171780653297901,0.7985515654087066,-5.0,-5.4
N#Cc1cnc(C2CC2)nc1N,3061302,0.5901330858469009,0.9872858941555024,-5.4,-6.1
COc1ccc(O)c(C)c1,3061318,0.603069645166397,0.7676511585712433,-5.3,-5.6
