smiles,pik3ca_activity,mtor_activity
CCn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)N4CCN(CCO)CC4)cc3)ccnc21,1.0,1.0
Oc1cc(N2CCOCC2)nc(NCc2c(Cl)cccc2Cl)n1,1.0,
Cc1nn2ccc(C3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,1.0,
CN1CCN(C(=O)c2cccc(-c3cc4nc(-c5cnc(N)nc5)nc(N5CCOCC5)c4s3)c2)CC1,1.0,1.0
C[C@H]1CN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CCN1S(C)(=O)=O,1.0,
Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)nc1,1.0,1.0
Oc1nc2ncc(-c3ccc4[nH]cnc4c3)nc2n1CC1CCCCC1,0.0,1.0
CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(NC)nc4)cc3)nc21,1.0,1.0
Oc1cccc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c1,1.0,
Cc1nc(N)nc(-c2cc(CN3CCOCC3)cnc2Nc2cnc(Cl)c(N=S(C)(=O)O)c2)n1,1.0,
CN1CCN(Cc2cc3nc(-c4ccc(NC(=O)NC5CC5)cc4)nc(N4CC5CCC(C4)O5)c3s2)CC1,1.0,1.0
Oc1cccc(-c2nc(N3CCOCC3)nc3c2CCN3c2ccncc2)c1,1.0,
NCCCC[C@H](N)C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1.0,
CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(CCO)cc4)cc3)nc21,1.0,1.0
O=S(=O)(Nc1cc(-c2ccc3cnccc3c2)cnc1Cl)c1ccc(F)cc1,1.0,
OCc1cccc(-c2nc(N3CCOCC3)c3cccnc3n2)c1,1.0,
COC(=O)N1CCC(n2ncc3c(N4CC5CCC(C4)O5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,1.0,1.0
Cc1c(Cl)cccc1Cn1c(=O)[nH]c(=O)c2sc(N3CCOCC3)nc21,0.0,
CS(=O)(=O)c1cncc(-c2ccc3nc(N=S(C)(=O)O)nn3c2)c1,0.0,
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,1.0,1.0
Cc1ccccc1-n1c(Cn2nc(-c3cc(O)cc(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,1.0,
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CCN4CCCCC4)c3n2)cc1,1.0,1.0
CC(=O)Nc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1.0,
COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,1.0,1.0
Cc1ccn2ncc(/C=N/N(C)S(=O)(=O)c3cc([N+](=O)[O-])ccc3C)c2c1,1.0,
Nc1ncc(-c2cn3cc(C(=O)NC4CCC(O)CC4)nc3c(N3CCOCC3)n2)cn1,1.0,
Nc1ncc(-c2cn3cc(C(=O)N[C@H]4CC[C@H](O)CC4)nc3c(N3CCOCC3)n2)cn1,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N(CCC#N)Cc2ccccc2)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,
