smiles,egfr_activity,met_activity
Nc1ncc(-c2ccoc2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,1.0,1.0
Nc1nccn2c(C3CC(CN4CCCC4)C3)nc(-c3cccc(OCc4ccccc4)c3)c12,1.0,1.0
c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,1.0,1.0
COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,1.0,1.0
Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4snc(N)c34)cc2)c1,1.0,1.0
c1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,1.0,1.0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,1.0,1.0
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,1.0,1.0
NC(=O)c1cc(-c2cccc(N)c2)cc2cccnc12,1.0,1.0
Nc1ncc(C=CC(=O)NCCCn2ccnc2)c2scc(-c3ccc(Br)cc3)c12,1.0,1.0
NC(=O)c1cccc2nc(-c3ccncc3)[nH]c12,1.0,1.0
COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC,1.0,1.0
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,1.0,1.0
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,1.0,1.0
CC1=NC(=O)CC(c2ccc3ccccc3c2)C1C(=O)Nc1ccc2[nH]ncc2c1,1.0,1.0
Cc1ccccc1NC(=O)Nc1ccc2c(c1)CCc1sc3ncnc(N)c3c1-2,1.0,1.0
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccc(-c5cnn(C)c5)cc4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,1.0,1.0
CC(C)COc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3)nc12,1.0,1.0
CC(C)(C)OC(=O)n1ncc2cc(N=C3C(=O)C(=O)C3NCc3ccc(S(N)(=O)=O)cc3)ccc21,1.0,1.0
NC(=O)c1ccc(-c2c[nH]c3nccc(Cl)c23)cc1,1.0,1.0
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCC#N)c2)n1,1.0,1.0
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1cccc(F)c1F,1.0,1.0
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CCC(N2CCCC2)CC1,1.0,1.0
Oc1ncnc2c1sc1c(Cl)ccc(Cl)c12,1.0,1.0
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,1.0,1.0
Cc1ccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)cc1C,1.0,1.0
O=C1NCCc2[nH]c(-c3ccncc3)cc21,1.0,1.0
Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccc2nccnc12,1.0,1.0
O=C1N=c2ncccc2=C1c1[nH]c2ncccc2c1O,1.0,1.0
O=C(NC(CO)Cc1ccc(Cl)cc1)c1ccc(-c2ccncc2)cc1,1.0,1.0
NC(=O)c1cc2c(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cncc2s1,1.0,1.0
CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,1.0,1.0
C=S(O)(O)=CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1.0,1.0
CC(C)Nc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12,1.0,1.0
Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1cccs1,1.0,1.0
NC(=O)c1cc2c(-c3ccccc3)cncc2s1,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,1.0,1.0
Oc1cc(-c2ccncc2)nc(NC2CCCCC2)n1,1.0,1.0
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,1.0,1.0
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(C(F)(F)F)cccc12,1.0,1.0
COCCN(C)C(=O)c1c(-c2ccc3[nH]ncc3c2)nnn1Cc1ccccc1,1.0,1.0
CN1CCN(C2CCC(n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,1.0,1.0
Oc1ccc(Nc2ncnc3scc(Cl)c23)cc1,1.0,1.0
Oc1nc2ncc(-c3ccc(-c4ncn[nH]4)cc3)nc2n1CCC1CCOCC1,1.0,1.0
Cc1nccn2c(-c3ccnc(NCC4(O)CC4)n3)c(-c3ccc(F)cc3F)nc12,1.0,1.0
O=C(Nc1cnccn1)Nc1ccnc2c(C(F)(F)F)cccc12,1.0,1.0
CS(=O)(O)=Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2,1.0,1.0
COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,1.0,1.0
Cc1[nH]nc2c1C(c1ccccc1Cl)C(C#N)C(=N)O2,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3ccc4nccnc4c3N)cc2)c1,1.0,1.0
COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC,1.0,1.0
CN(C)CC(=O)Nc1[nH]nc2ccc(-c3cn(Cc4ccccc4)nn3)cc12,1.0,1.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,1.0,1.0
c1ccc(CNc2cc(-c3c[nH]c4ncccc34)ncn2)cc1,1.0,1.0
OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1,1.0,1.0
O=C(NNC(=S)Nc1ccc(Cl)cc1)C(O)(c1ccccc1)c1ccccc1,1.0,1.0
CC(C)Cc1cc(-c2ccc3[nH]nc(N)c3c2)on1,1.0,1.0
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc1)CCN2,1.0,1.0
CSc1ccc2nc3c(c(Cl)c2c1)CCNC3=O,1.0,1.0
COCc1nnn(-c2nonc2N)c1C(=O)NN=C(C)c1ccc(O)cc1O,1.0,1.0
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,1.0,1.0
OC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,1.0,1.0
NCCCNS(=O)(=O)c1cccc(C(O)=Nc2ccc(-c3nnc(O)c4ccccc34)cc2)c1,1.0,1.0
