smiles,pik3ca_activity,mtor_activity
Cc1nccc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N2CCN(c3ccccc3)CC2)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)C(C)(C)C)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,1.0,1.0
c1ccc(-n2ncc3c(N4CCOCC4)nc(-c4ccc5[nH]ccc5c4)nc32)cc1,1.0,1.0
O=C1/C(=C/c2c[nH]c3ccccc23)Oc2cc(O)cc(O)c21,1.0,1.0
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CNc1cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)nc(C)n1,1.0,1.0
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1,1.0,1.0
Cc1nc(Nc2cnn(C3CCOC3)c2)cc(-c2c(Nc3ccn[nH]3)nc3cccnn23)n1,1.0,1.0
CCNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,1.0,1.0
COC(C)(C)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,1.0,1.0
Cc1nc(N)cc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2C1CCCC1,1.0,1.0
CNCCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(OC)nc(N4CCOCC4)n3)cc2)cc1,1.0,1.0
COc1ccc(-c2cc3c(C)nc(N)cc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,1.0,1.0
COc1ccc(-c2cc3c(C)nc(N)cc3n(C3CCC(OCCO)CC3)c2=O)cn1,1.0,1.0
Nc1ncc(-c2cn3cc(C(=O)NC4CCOCC4)nc3c(N3CCOCC3)n2)cn1,1.0,1.0
Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1.0,1.0
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CC(F)(F)F)c3n2)cc1,1.0,1.0
O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1)Nc1ccnnc1,1.0,1.0
CONC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,1.0,1.0
Cc1nc(N)cc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1.0,1.0
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4C5CCC4COC5)CC3)ccnc21,1.0,1.0
C(#Cc1n[nH]c2ncccc12)c1cccnc1,1.0,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12,1.0,1.0
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,1.0,1.0
Cn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccs4)cc3)nc21,1.0,1.0
Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1,1.0,1.0
CC(=O)Nc1cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)nc(C)n1,1.0,1.0
CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,1.0,1.0
Cn1c(-c2ccccc2)c(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2ccccc21,1.0,1.0
CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3n2)cc1,1.0,1.0
Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCC(C(=O)N4CCOCC4)CC3)ccnc21,1.0,1.0
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,1.0,1.0
CCc1cc(C(F)(F)F)nn1-c1nc(-c2cccc3[nH]ccc23)nc(N2CCOCC2)n1,1.0,1.0
O=C(Nc1ccncc1)Nc1ccc(-c2nc(C3=CCOCC3)c3sccc3n2)cc1,1.0,1.0
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,1.0,1.0
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,1.0,1.0
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)CCCN(C)C)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1,1.0,1.0
COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCCC3)c2=O)cn1,1.0,1.0
Cc1nc(N)cc(-c2c(Nc3cc[nH]n3)nc3ccccn23)n1,1.0,1.0
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3C4CCC3COC4)ccnc21,1.0,1.0
CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21,1.0,1.0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4Cl)c3)cc2s1,1.0,1.0
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,1.0,1.0
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1,1.0,1.0
O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1,1.0,1.0
Cc1ccc(CN2CCC(n3cnc4c(N5CCOCC5)nc(-c5cncc(O)c5)nc43)CC2)cc1,1.0,1.0
Cc1cc(C(=O)Nc2cn[nH]c2)c2nc(C)nc(N)c2c1,1.0,1.0
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc(NC(=O)Nc3ccc(F)cc3)cc2)n1,1.0,1.0
Cc1nc(N)nc(-c2c(Nc3cc[nH]n3)nc3ccc(-c4cncn4C)cn23)n1,1.0,1.0
CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CCN(C)C)c3n2)cc1,1.0,1.0
