smiles,egfr_activity,met_activity
C=CC(=O)Nc1cc2c(Cc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,1.0,
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,1.0,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,1.0,
C=S(O)(O)=CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,1.0,
Cc1ccc(O)cc1N1C(=O)C2CCCC=C2c2c(N)ncnc21,1.0,
COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,1.0,
C=C(C)C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,
COc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1.0,
NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,1.0,
COc1cc(C=NNc2ncnc3c2cnn3-c2ccccc2)ccc1O,1.0,1.0
CC(C)(C)C(=O)Nc1nc(Nc2ccc(Cl)cc2)c2c(n1)[nH]c1cccc(Cl)c12,0.0,
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,1.0,
N#C/C(=C\c1ccc(O)c(O)c1)C(=N)C(C#N)C#N,1.0,
CC(C)Cn1c(N)nc2c(F)cc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,1.0,1.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,1.0,
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC(O)C1,1.0,
O=C(/C=C/CN1CCC2(CC1)OCCO2)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,1.0,
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,1.0,
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(F)cc1,1.0,
CCOc1ccccc1-c1nnc(SCc2ccccc2)o1,0.0,
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,1.0,
C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,1.0,
COCCN(CCOC)S(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1,1.0,
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Oc3ccccc3)cc2)c(O)c1,1.0,
O=P(O)(O)C(O)c1ccc2ccccc2c1,0.0,
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,1.0,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(=O)O)cc3)nc21,1.0,
COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,0.0,
COc1ccccc1-c1nnc(SCc2ccccc2)o1,0.0,
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Br)c1O,1.0,
CN(C)CCCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1.0,
C=C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,
C=C1C=C(C2CCN(CCCF)CC2)Cc2nc(-c3c(NCCn4cc(Cl)cn4)ccnc3O)[nH]c21,0.0,1.0
Cc1cccc(Nc2ncnc3cc(NCCCCN(C)C)ncc23)c1,1.0,
N#CC(C#N)=C(C#N)c1ccc(C=O)cc1,0.0,
CN1CCN(Cc2ccc(Nc3nc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4s3)cc2)CC1,1.0,
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)c(O)c1,1.0,
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccc(O)cc1,1.0,
C=CC(=O)Nc1cc2c(Cc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,1.0,
COc1cc(Nc2c(C#N)cnc3cc(-c4coc(CN5CCN(C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl,1.0,
OCC(CO)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.0,
