smiles,reagent_id,gsk3b_activity,jnk3_activity,ds_1,ds_2
Cc1ccc(N)cc1C,195,4.516523461976518e-05,2.5962463501290654e-06,-5.6,-5.7
Nc1ccc(F)cc1,196,0.0006575734378201,2.3516746410810773e-05,-4.7,-5.0
Nc1cccc([N+](=O)[O-])c1,198,0.0005835197868051,0.001385607169707,-5.2,-5.5
Nc1ccccc1[N+](=O)[O-],199,0.0023060248523904,0.006662893210736,-5.2,-5.5
Nc1c(Cl)cccc1Cl,200,0.0002121036902484,0.005714273474823,-5.2,-5.2
Nc1ccccc1Cl,201,7.445711872088465e-05,4.921029807696742e-05,-5.0,-5.0
Cc1ccc(N)cc1[N+](=O)[O-],205,0.0008627076949203,0.002387734277371,-5.4,-5.8
Nc1ccc(Cl)c(Cl)c1,209,0.0005497369458531,0.0002239089261431,-5.2,-5.3
Nc1ccc([N+](=O)[O-])cc1,210,0.0005746665739188,0.000404127004105,-5.3,-5.4
Cc1cc(C)c(N)c(C)c1,211,6.313682129211081e-06,2.2990176150581378e-06,-6.0,-6.1
Nc1ccccc1N,213,0.0083002949046203,0.0001594468351491,-4.6,-4.8
Cc1ccc(N)cc1,214,9.078273717868512e-05,1.0248350737415735e-06,-4.9,-5.2
Nc1cc(Cl)ccc1Cl,216,0.0053834401670428,0.0016607278162724,-5.4,-5.3
Nc1cccc(Cl)c1,218,0.0004330821276731,6.586403393384947e-05,-4.8,-4.9
Nc1cccc(F)c1,219,0.0003860974383791,5.651320930920465e-05,-4.8,-4.9
Cc1cc(Br)c(N)c(Br)c1,220,0.0104703535416024,0.003830407367083,-5.7,-5.6
CSc1cccc(N)c1,222,0.0022119893979635,0.0001062527047928,-4.8,-4.9
Cc1ccc(N)cc1Cl,224,5.915222830556355e-05,1.016019700408322e-05,-5.4,-5.4
Nc1cccc2ccccc12,225,0.106339011201635,0.0934117082018019,-6.7,-6.8
Nc1ccc2ccccc2c1,226,0.0014841727792171,0.0087279740114534,-6.6,-6.9
Nc1cccc(S(N)(=O)=O)c1,230,0.0055904674265661,0.0006198693749171,-5.5,-5.8
Nc1ccc(Cl)cc1,231,0.000294651327372,1.0796446117046407e-05,-4.7,-4.9
Nc1ccccc1I,232,0.125617424691427,0.0015254130509532,-4.9,-4.9
OC1CCCCCCC1,233,0.0002166442752511,5.418436371283164e-06,-5.4,-5.5
Nc1cccc(C(F)(F)F)c1,236,0.0001969317910308,0.0001563723627363,-6.1,-6.0
Nc1nccs1,239,0.0003647420868025,2.4493540071284817e-07,-3.2,-3.3
Clc1ccccn1,242,7.341039759412368e-06,2.08231130127387e-05,-4.3,-4.3
Brc1cccnc1,243,1.9107053907830646e-06,2.2592895405665604e-08,-4.1,-4.3
Oc1ccccn1,249,4.636867501742108e-06,1.7001702089416122e-07,-4.2,-4.4
O=C1Nc2ccccc2C1=O,253,0.6175935575272888,0.1864193326415261,-6.1,-6.5
Cc1ccc2ccccc2n1,258,3.000979536535442e-05,1.050067211286615e-05,-6.7,-6.6
O=[N+]([O-])c1ccc(O)c2ncccc12,259,0.0359236555427742,0.0106819511856883,-6.7,-6.8
Oc1cccc2cccnc12,260,0.0033801509635964,0.0001768541811312,-6.3,-6.2
Sc1ccc2ccccc2n1,261,0.0006757723771038,0.0020802922740188,-6.2,-6.3
O=C1Nc2cccc3cccc1c23,263,0.5773699954152107,0.3961094308178872,-7.4,-7.8
c1ccc2[nH]cnc2c1,267,0.0010111061542425,5.966912205688087e-05,-5.1,-5.3
Cc1nc2ccccc2[nH]1,271,0.0001371967548915,1.73188471768167e-05,-5.7,-5.8
c1ccc2[nH]nnc2c1,275,0.0022331157969928,0.0423745100320957,-5.5,-5.4
Brc1ccccn1,276,1.7800139310546174e-05,2.0135950394336085e-05,-4.3,-4.3
Sc1nc2ccccc2o1,281,0.0002382867453767,1.1830854902171438e-05,-5.3,-5.4
O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,284,0.6567274652421474,0.114501543152437,-6.9,-7.2
O=C1Nc2ccc(Br)cc2C1=O,285,0.7256421811878682,0.1583260045212227,-6.6,-6.5
Nc1cccc2cnccc12,303,0.9758373618125916,0.5529208898544311,-6.1,-6.3
CCCCC=O,310,1.3466047504326091e-05,9.764393995699574e-07,-3.6,-3.5
O=Cc1ccccc1,313,0.0001061407610364,0.0003563476782073,-5.0,-5.2
O=Cc1ccc(O)cc1,314,0.0856616223696619,0.0013120136068813,-5.1,-5.6
O=Cc1ccccc1O,320,0.0007005777440429,0.0005767985591091,-5.2,-5.3
O=Cc1ccccc1Cl,321,6.733751275691433e-05,0.0104790597593009,-5.5,-5.5
